bet_id,event_id,timestamp,date,sport,match,team,market,line,odds,stake,event_time,status,result,profit,result_timestamp,bankroll_after
1764859819737_829c33f27898d96c181850b3e01e936d_h2h_Manchester United,829c33f27898d96c181850b3e01e936d,2025-12-04T14:50:19.737521+00:00,2025-12-04,soccer_epl,West Ham United @ Manchester United,Manchester United,h2h,,-215,2.00,2025-12-04T20:00:00+00:00,OPEN,,0.0,,
1764859819737_d7046816eb6615d7ec83c6356451c7cd_h2h_Utah Jazz,d7046816eb6615d7ec83c6356451c7cd,2025-12-04T14:50:19.737521+00:00,2025-12-04,basketball_nba,Utah Jazz @ Brooklyn Nets,Utah Jazz,h2h,,-177,2.00,2025-12-05T00:40:00+00:00,OPEN,,0.0,,
1764859819737_81db991c5b34169eeeff8d734d8836d9_h2h_Detroit Lions,81db991c5b34169eeeff8d734d8836d9,2025-12-04T14:50:19.737521+00:00,2025-12-04,americanfootball_nfl,Dallas Cowboys @ Detroit Lions,Detroit Lions,h2h,,-158,2.00,2025-12-05T01:15:00+00:00,OPEN,,0.0,,
1764859819737_0ef228d015b4f211bab07a3c269105ab_h2h_Philadelphia 76ers,0ef228d015b4f211bab07a3c269105ab,2025-12-04T14:50:19.737521+00:00,2025-12-04,basketball_nba,Golden State Warriors @ Philadelphia 76ers,Philadelphia 76ers,h2h,,-134,2.00,2025-12-05T00:10:00+00:00,OPEN,,0.0,,
1764859819737_fe4d07bc0ca481a686bda4801b135ead_h2h_Toronto Raptors,fe4d07bc0ca481a686bda4801b135ead,2025-12-04T14:50:19.737521+00:00,2025-12-04,basketball_nba,Los Angeles Lakers @ Toronto Raptors,Toronto Raptors,h2h,,-130,2.00,2025-12-05T00:40:00+00:00,OPEN,,0.0,,
1764859819737_81db991c5b34169eeeff8d734d8836d9_spreads_Detroit Lions,81db991c5b34169eeeff8d734d8836d9,2025-12-04T14:50:19.737521+00:00,2025-12-04,americanfootball_nfl,Dallas Cowboys @ Detroit Lions,Detroit Lions,spreads,-3.0,-109,2.00,2025-12-05T01:15:00+00:00,OPEN,,0.0,,
1764859819737_fe4d07bc0ca481a686bda4801b135ead_spreads_Los Angeles Lakers,fe4d07bc0ca481a686bda4801b135ead,2025-12-04T14:50:19.737521+00:00,2025-12-04,basketball_nba,Los Angeles Lakers @ Toronto Raptors,Los Angeles Lakers,spreads,2.5,-108,2.00,2025-12-05T00:40:00+00:00,OPEN,,0.0,,
1764859819737_3bb98aa07fabd4fae0e83a62c2d5fb1a_totals_over,3bb98aa07fabd4fae0e83a62c2d5fb1a,2025-12-04T14:50:19.737521+00:00,2025-12-04,basketball_nba,Boston Celtics @ Washington Wizards,over,totals,230.5,-107,2.00,2025-12-05T00:10:00+00:00,OPEN,,0.0,,
1764859819737_d7046816eb6615d7ec83c6356451c7cd_totals_under,d7046816eb6615d7ec83c6356451c7cd,2025-12-04T14:50:19.737521+00:00,2025-12-04,basketball_nba,Utah Jazz @ Brooklyn Nets,under,totals,232.5,-107,2.00,2025-12-05T00:40:00+00:00,OPEN,,0.0,,
1764859819737_3bb98aa07fabd4fae0e83a62c2d5fb1a_spreads_Boston Celtics,3bb98aa07fabd4fae0e83a62c2d5fb1a,2025-12-04T14:50:19.737521+00:00,2025-12-04,basketball_nba,Boston Celtics @ Washington Wizards,Boston Celtics,spreads,-10.0,-106,2.00,2025-12-05T00:10:00+00:00,OPEN,,0.0,,
